     Media	   Mediana	     Range	  Distance	      Tmax	      dm15	      Jmax	      Hmax	    Tmax-J	    Tmax-H
  26.57170	  26.57170	  66.00000	  33.00000	 278.35269	   1.08922	  15.55694	  15.76260	  -4.48382	  -4.63446
   7.57170	   7.57170	  30.00000	   7.57170	 278.36040	   1.08986	  15.58127	  15.75401	  -4.47570	  -4.62686
  -4.89330	  -4.89330	   6.97000	   3.48500	 278.42187	   1.09228	  15.51192	  15.79005	  -4.41272	  -4.56591
  -6.92830	  -6.92830	   1.00000	   0.50000	 278.35781	   1.08952	  15.57994	  15.78115	  -4.47851	  -4.62939
   7.09670	   7.09670	  30.95000	  15.47500	 278.36816	   1.09028	  15.59772	  15.77894	  -4.46768	  -4.61920
  -4.89830	  -4.89830	   6.96000	   3.48000	 278.42630	   1.09223	  15.51689	  15.77046	  -4.40832	  -4.56149
  -4.89330	  -4.89330	   6.97000	   3.48500	 278.42187	   1.09228	  15.51192	  15.79005	  -4.41272	  -4.56591
   9.61670	   9.61670	  35.99000	  17.99500	 278.38079	   1.09107	  15.61578	  15.84072	  -4.45456	  -4.60672
  15.09670	  15.09670	  25.03000	  15.09670	 278.34401	   1.08926	  15.35758	  15.75963	  -4.49249	  -4.64312
  15.09170	  15.09170	  25.04000	  15.09170	 278.34378	   1.08940	  15.37239	  15.73627	  -4.49261	  -4.64340
  31.07670	  31.07670	  56.99000	  31.07670	 278.35253	   1.08921	  15.39111	  15.75720	  -4.48401	  -4.63461
  -2.89830	  -2.89830	  10.96000	   2.89830	 278.44450	   1.09195	  15.54523	  15.82360	  -4.39029	  -4.54321
   8.07170	   8.07170	  29.00000	  14.50000	 278.35454	   1.08951	  15.53793	  15.73207	  -4.48181	  -4.63266
  -7.40830	  -7.40830	   1.94000	   0.97000	 278.37059	   1.09014	  15.58483	  15.79216	  -4.46536	  -4.61673
  -2.90330	  -2.90330	  10.95000	   5.47500	 278.42603	   1.09111	  15.52900	  15.79098	  -4.40930	  -4.56149
   9.61170	   9.61170	  35.98000	   9.61170	 278.37738	   1.09053	  15.57914	  15.82875	  -4.45831	  -4.61001
   8.07170	   8.07170	  29.02000	   8.07170	 278.35463	   1.08960	  15.53551	  15.70729	  -4.48166	  -4.63260
  -6.43330	  -6.43330	   0.01000	   0.00500	 278.35281	   1.08923	  15.55626	  15.74450	  -4.48370	  -4.63434
   7.10170	   7.10170	  30.96000	   7.10170	 278.36884	   1.09034	  15.59565	  15.77804	  -4.46698	  -4.61853
   8.07670	   8.07670	  29.01000	  14.50500	 278.35472	   1.08955	  15.53688	  15.73174	  -4.48159	  -4.63247
  -4.42330	  -4.42330	   6.01000	   3.00500	 278.40750	   1.09117	  15.51958	  15.74030	  -4.42779	  -4.58004
  -1.93330	  -1.93330	   9.01000	   1.93330	 278.38835	   1.08947	  15.50646	  15.72546	  -4.44799	  -4.59884
  -2.89830	  -2.89830	  10.96000	   5.48000	 278.42719	   1.09122	  15.52301	  15.80726	  -4.40805	  -4.56036
   9.61170	   9.61170	  35.98000	   9.61170	 278.38118	   1.09095	  15.61879	  15.82876	  -4.45425	  -4.60632
   0.57670	   0.57670	   3.99000	   0.57670	 278.35568	   1.08914	  15.43174	  15.70019	  -4.48089	  -4.63144
   9.61170	   9.61170	  35.98000	   9.61170	 278.37738	   1.09053	  15.57914	  15.82875	  -4.45831	  -4.61001
   9.13170	   9.13170	  36.96000	  18.48000	 278.38774	   1.09161	  15.59052	  15.83889	  -4.44726	  -4.59991
  10.57670	  10.57670	  23.99000	  11.99500	 278.34679	   1.08926	  15.43206	  15.67841	  -4.48971	  -4.64035
  -4.89330	  -4.89330	   6.97000	   3.48500	 278.42442	   1.09231	  15.51187	  15.80433	  -4.41015	  -4.56338
  -8.37830	  -8.37830	   1.94000	   0.97000	 278.37115	   1.09054	  15.62301	  15.84780	  -4.46454	  -4.61627
  10.09670	  10.09670	  35.01000	  10.09670	 278.36514	   1.08988	  15.54744	  15.78705	  -4.47094	  -4.62213
  -7.89330	  -7.89330	   0.97000	   0.48500	 278.35821	   1.08954	  15.60753	  15.84840	  -4.47812	  -4.62899
  -1.92830	  -1.92830	   9.00000	   1.92830	 278.39014	   1.08945	  15.50744	  15.74770	  -4.44622	  -4.59704
  15.09170	  15.09170	  25.04000	  15.09170	 278.34378	   1.08940	  15.37239	  15.73627	  -4.49261	  -4.64340
  25.09170	  25.09170	   5.02000	  25.09170	 278.35146	   1.08922	  15.21534	  15.67371	  -4.48504	  -4.63568
  -1.92330	  -1.92330	   9.01000	   4.50500	 278.39151	   1.08952	  15.50319	  15.76134	  -4.44482	  -4.59570
  15.09170	  15.09170	  25.02000	  15.09170	 278.34434	   1.08918	  15.36010	  15.74736	  -4.49221	  -4.64279
  -4.42330	  -4.42330	   6.01000	   3.00500	 278.40750	   1.09117	  15.51958	  15.74030	  -4.42779	  -4.58004
   7.57670	   7.57670	  30.01000	  15.00500	 278.36082	   1.08991	  15.57981	  15.75345	  -4.47525	  -4.62646
  -8.86330	  -8.86330	   0.97000	   0.48500	 278.35421	   1.08934	  15.69984	  15.89845	  -4.48224	  -4.63296
  -8.37830	  -8.37830	   1.94000	   0.97000	 278.36885	   1.09048	  15.62320	  15.82214	  -4.46685	  -4.61856
  -8.86330	  -8.86330	   0.97000	   0.48500	 278.35421	   1.08934	  15.69984	  15.89845	  -4.48224	  -4.63296
  12.57670	  12.57670	  20.01000	  12.57670	 278.34435	   1.08932	  15.38413	  15.69732	  -4.49209	  -4.64282
  -7.88830	  -7.88830	   2.92000	   1.46000	 278.38177	   1.09112	  15.59143	  15.80722	  -4.45355	  -4.60577
  -5.38330	  -5.38330	   7.93000	   3.96500	 278.44414	   1.09418	  15.51791	  15.75696	  -4.38928	  -4.54416
  -4.89830	  -4.89830	   6.96000	   3.48000	 278.42630	   1.09223	  15.51689	  15.77046	  -4.40832	  -4.56149
  -2.41330	  -2.41330	   9.99000	   4.99500	 278.40647	   1.09009	  15.51185	  15.79014	  -4.42950	  -4.58084
  -6.92330	  -6.92330	   0.97000	   0.48500	 278.35667	   1.08941	  15.56863	  15.76684	  -4.47973	  -4.63052
  -3.38830	  -3.38830	  11.92000	   3.38830	 278.44180	   1.09286	  15.53342	  15.76912	  -4.39242	  -4.54614
  15.09170	  15.09170	  25.04000	  15.09170	 278.34378	   1.08940	  15.37239	  15.73627	  -4.49261	  -4.64340
   9.12670	   9.12670	  36.95000	  18.47500	 278.38988	   1.09168	  15.60839	  15.82345	  -4.44507	  -4.59778
  10.08670	  10.08670	  35.03000	  17.51500	 278.36599	   1.09005	  15.56822	  15.77930	  -4.47000	  -4.62130
  10.09670	  10.09670	  35.01000	  10.09670	 278.36514	   1.08988	  15.54744	  15.78705	  -4.47094	  -4.62213
   9.61670	   9.61670	  35.99000	   9.61670	 278.38079	   1.09107	  15.61578	  15.84072	  -4.45456	  -4.60672
  10.59170	  10.59170	  34.04000	  10.59170	 278.35767	   1.08975	  15.52721	  15.76245	  -4.47851	  -4.62957
   9.61170	   9.61170	  35.98000	   9.61170	 278.37738	   1.09053	  15.57914	  15.82875	  -4.45831	  -4.61001
  -7.88830	  -7.88830	   2.92000	   1.46000	 278.38222	   1.09137	  15.59610	  15.78451	  -4.45294	  -4.60537
  15.08670	  15.08670	  25.03000	  15.08670	 278.34410	   1.08929	  15.37496	  15.72423	  -4.49237	  -4.64306
  10.09670	  10.09670	  35.01000	  17.50500	 278.36514	   1.08988	  15.54744	  15.78705	  -4.47094	  -4.62213
  -4.41330	  -4.41330	   5.99000	   2.99500	 278.40078	   1.09084	  15.50959	  15.74626	  -4.43472	  -4.58670
  -7.40330	  -7.40330	   1.95000	   0.97500	 278.36754	   1.09008	  15.58597	  15.80023	  -4.46844	  -4.61978
   7.58670	   7.58670	  29.99000	  14.99500	 278.36020	   1.08980	  15.55807	  15.76092	  -4.47595	  -4.62707
  -8.38830	  -8.38830	   1.92000	   0.96000	 278.36782	   1.09025	  15.64104	  15.84141	  -4.46804	  -4.61953
  43.59170	  43.59170	  31.96000	  43.59170	 278.35211	   1.08915	  15.19187	  15.73742	  -4.48446	  -4.63501
   6.61670	   6.61670	  31.93000	   6.61670	 278.37919	   1.09110	  15.61950	  15.78392	  -4.45614	  -4.60833
   0.58170	   0.58170	   3.98000	   0.58170	 278.35507	   1.08908	  15.42683	  15.73356	  -4.48153	  -4.63205
   8.07170	   8.07170	  29.00000	   8.07170	 278.35454	   1.08951	  15.53793	  15.73207	  -4.48181	  -4.63266
   0.58170	   0.58170	   3.98000	   0.58170	 278.35507	   1.08908	  15.42683	  15.73356	  -4.48153	  -4.63205
